invoice_id,product_code,quantity
1,7,1
1,8,1
1,9,3
1,5,1
1,10,3
1,4,3
1,6,1
1,1,2
2,5,3
2,3,1
2,8,3
2,4,4
2,10,1
2,6,3
2,9,4
2,7,2
4,9,1
4,8,1
4,3,2
4,7,1
4,1,1
4,6,1
5,10,3
5,8,2
5,1,4
5,9,3
5,5,2
5,7,1
5,4,2
5,6,4
5,2,2
6,1,2
6,4,1
7,9,2
7,6,4
7,8,3
7,1,3
7,7,4
7,2,3
7,3,3
7,10,4
8,5,2
8,7,1
8,2,2
8,3,4
8,6,1
9,10,3
9,3,1
9,1,2
9,2,3
9,6,2
9,4,4
9,5,3
10,8,1
10,10,4
11,2,1
11,4,2
11,7,4
11,3,1
11,1,4
11,5,1
11,9,3
12,7,4
12,4,1
12,8,1
12,6,4
14,7,3
15,3,4
15,8,4
16,5,4
16,7,3
16,2,4
16,10,3
16,3,2
16,1,4
17,4,4
17,6,4
17,2,3
17,5,3
17,9,2
17,7,1
17,8,1
18,8,1
18,4,1
18,6,3
18,10,4
19,3,3
19,4,3
19,7,1
19,2,1
19,10,1
19,8,4
19,5,1
20,6,4
20,7,3
20,8,3
20,4,1
20,10,1
20,3,2
21,5,4
21,6,3
21,7,1
21,4,1
21,10,1
21,1,3
21,8,3
21,9,3
24,5,4
24,4,2
24,1,1
24,2,3
24,6,4
24,8,4
25,1,1
25,2,1
25,7,2
25,6,2
25,5,4
25,3,3
25,9,1
26,7,4
26,1,3
28,3,4
28,2,1
28,9,4
29,8,4
29,9,1
29,2,3
29,1,2
29,7,1
30,10,1
30,5,4
30,3,2
30,7,4
30,9,3
30,4,2
30,1,2
31,9,4
31,7,1
31,10,3
31,4,2
31,2,4
31,3,2
31,5,3
31,8,3
31,6,4
32,7,2
32,9,2
32,6,3
32,3,2
32,5,4
32,10,3
32,1,1
33,3,2
33,5,1
33,4,4
34,6,2
35,3,4
35,10,2
35,7,1
36,1,1
36,10,1
36,2,3
36,4,3
36,6,1
37,8,4
37,1,4
37,5,4
37,7,2
37,2,2
37,9,4
37,10,2
37,3,2
38,6,3
38,10,4
38,1,3
38,9,2
38,7,2
38,5,4
38,8,2
39,1,2
39,9,4
39,5,4
39,4,2
39,10,2
40,1,1
40,6,1
40,9,4
40,7,1
40,8,2
42,8,1
42,6,1
42,4,2
42,1,4
42,7,1
42,10,3
42,5,2
43,2,2
43,4,3
43,7,3
43,8,1
43,1,4
44,7,3
44,1,1
44,3,4
44,4,3
44,5,4
44,6,1
44,2,1
44,10,2
45,5,3
45,6,1
45,10,2
45,7,1
45,3,4
45,9,2
46,3,3
46,5,1
46,6,3
46,8,1
46,2,2
46,1,3
46,4,3
47,8,1
47,2,2
47,3,1
47,6,3
47,10,4
48,4,1
48,7,2
48,6,1
48,5,4
49,2,1
49,9,3
49,5,3
50,6,2
50,1,1
50,4,3
50,5,2
50,8,3
51,2,4
51,9,3
51,5,4
51,6,1
51,8,4
51,10,2
52,9,4
52,7,3
52,6,2
52,5,2
52,3,2
52,4,3
52,2,1
52,8,1
52,10,2
53,7,1
53,10,1
53,8,4
54,5,4
54,7,2
54,6,3
54,2,1
54,10,1
54,4,3
54,3,3
54,1,2
55,4,1
55,6,4
55,8,2
55,1,3
55,9,3
55,10,4
56,4,1
56,6,1
56,2,2
56,3,2
56,1,4
56,9,1
57,10,4
58,5,2
58,9,2
58,2,2
58,10,4
58,4,1
59,10,1
59,7,1
59,5,2
59,9,3
59,4,2
59,3,2
60,7,4
60,2,3
60,1,2
60,5,2
60,8,3
